author_handle,author_display_name,author_did,created_at,text,uri,cid,like_count,reply_count,repost_count,quote_count,language,embed,detectora_ai_score
tendar.bsky.social,(((Tendar))),did:plc:ernjxefnyk2hhwhbd3zblykf,2024-12-27T18:26:10.347Z,"The case around oil tankers Eagle-S, which is most certainly responsible for damaging the Estlink-2 undersea cable, is getting even more interesting. It appears that ship was not only involved in sabotage but in espionage, as well.",at://did:plc:ernjxefnyk2hhwhbd3zblykf/app.bsky.feed.post/3lecmgh7cz22o,bafyreichh4ydy6hw73goyvsfughj7ft65q4ly2ptiaeexk7tdv66tuwxzi,953,29,252,17,en,"images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=294530, ref=IpldLink(link='bafkreih5fhonli4qpbv2xqqctqouv473nahlbzjfzedgchgv4wr7bvzqie'), py_type='blob'), aspect_ratio=AspectRatio(height=1002, width=1170, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",0.6172474026679993
barryalanpiatoff.bsky.social,Barry Alan Piatoff,did:plc:xewv5wqmdxmbf326uidz24rn,2024-12-25T00:01:41.610Z,"""For Bluesky, Massive User Uptick Brings Growing Pains and Divisive Bots. It’s not just human users who’ve been flocking to Bluesky but also bots, including those designed to create partisan division."" via The Hollywood Reporter

@lion-c.bsky.social is quoted & seems to understand the bot problem",at://did:plc:xewv5wqmdxmbf326uidz24rn/app.bsky.feed.post/3le3nrniflc2w,bafyreihdxpx5r3yi6kbnmtprxvvbgbewnt77qn7sv2yywsr2wn3t6ivjpa,3,0,3,0,en,"external=External(description='It’s not just human users who’ve been flocking to Bluesky but also bots, including those designed to create partisan division.', title='For Bluesky, Massive User Uptick Brings Growing Pains and Divisive Bots', uri='https://www.hollywoodreporter.com/news/general-news/bluesky-user-growth-brings-growing-pains-and-divisive-bots-1236093735/?link_source=ta_thread_link&taid=676b2ef7b0d84200018b70a5&utm_campaign=trueanthem&utm_medium=social&utm_source=threads', thumb=BlobRef(mime_type='image/jpeg', size=795675, ref=IpldLink(link='bafkreiaoza25gxeytmjy4adjxyy6qm2iqtnjob6huatjvqgjl2xassudea'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",0.0009211198193952441
conspirator0.bsky.social,Conspirador Norteño,did:plc:7n2gzbzn4xus4nghzfpjgli3,2024-12-21T17:29:26.644Z,"In the two weeks since this thread was posted, the ""passionate about"" spam network has grown to over 15 thousand accounts, and evolved a bit in other ways. Here's an updated analysis...
bsky.app/profile/cons...",at://did:plc:7n2gzbzn4xus4nghzfpjgli3/app.bsky.feed.post/3ldtghifzd22v,bafyreib2edsamrs4uya4xd67pkdxh3chdow2rwagwnn4z536rewfcgtwve,427,13,202,26,en,"record=Main(cid='bafyreifqqzqwhfldbulddfabdemiwi6buqf6kn4z3pcw3efhete2c7znuq', uri='at://did:plc:7n2gzbzn4xus4nghzfpjgli3/app.bsky.feed.post/3lcmg572f4c2q', py_type='com.atproto.repo.strongRef') py_type='app.bsky.embed.record'",0.002669913461431861
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-10T10:35:41.542Z,Another bot network using AI for at least some of the posts...,at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcx27jbqoc2x,bafyreif674cj5mwwc6xudgwo3aphcragdic52eic5bznbhejoktut66htu,11,3,5,0,en,"record=Main(cid='bafyreiahf3qxf2gjbx3drq6ypo22gdi2ywohjxiagypuqkupfbnuqdltkq', uri='at://did:plc:7n2gzbzn4xus4nghzfpjgli3/app.bsky.feed.post/3lcvysn6vek2h', py_type='com.atproto.repo.strongRef') py_type='app.bsky.embed.record'",0.06642594933509827
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-10T07:52:29.081Z,"Grundsätzlich schwer zu sagen. Zwei Möglichkeiten:

1) Die Folgen tausenden (>100,000) Accounts und gewinnen dadurch ""back follower"". (komisch, aber nicht verboten)

2) Bekannte Persönlichkeiten, die von X gekommen sind und daher ohne Beiträge viele follower haben.",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcwr3ohlhc2d,bafyreigb3kwnfwx2a72zzarm7shpkblpma4jivlvqmzkaw2jahvbrw33bi,0,0,0,0,de,,0.0009483483736403286
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-08T19:29:02.362Z,Do you have a handle of some? Would like to take a look.,at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcsx3eprhc2s,bafyreidaznh2akx262xtq2b4ioikb63gq5jw46kc2umyzlgluqtdk7rbpq,2,1,0,0,en,,0.6039703488349915
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-08T12:04:36.978Z,"Auf jeden Fall ein Fake-Account (siehe Antwort an OP)! 

Ich denke aber nicht, das der zum gleichen Netzwerk gehört - da diese Bilder von Instagram gestohlen wurden. Das Ziel kann aber natürlich das gleiche sein.",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcs6aomuek2i,bafyreietwh4g5a4fjicrapftwraqznz6ldrhy3mmbzo3i624savkn2ljsu,2,0,0,0,de,,0.0005878527881577611
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-08T11:48:57.041Z,"Eines der Fotos zeigt auf der Uniform den Namen ""Hufschmidt"". Schnelle Google Suche bestätigt deinen Verdacht: Diese ""Christine Wagner"" existiert nicht und hat die Bilder geklaut.",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcs5eoad3s2q,bafyreiff2wrz6f7nxoavv4jybxlviwnmoivsmuntzfbmgwzgtitykusici,3,1,0,0,de,"images=[Image(alt='Aileen Tina Hufschmidt auf LinkedIn.', image=BlobRef(mime_type='image/jpeg', size=42644, ref=IpldLink(link='bafkreiaoq6e4kn5mjeaccdfebh4qydfyeq5mubmtueuyjji6hegqq35mdi'), py_type='blob'), aspect_ratio=AspectRatio(height=217, width=195, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",0.05424289032816887
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-08T09:41:32.889Z,"4/ Some sources said it has been up to 50 accounts, but currently I cannot find those accounts on Bluesky (perhaps already blocked?).

See for example this list: bsky.app/profile/lars...

Thanks to everyone who helped/helps shining light on this!",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcrwau77y22h,bafyreigzxcnwk2tqgxikalwyouu7mbjns6jo6a3nnmlewexpzloitundzu,16,1,1,0,en,"record=Main(cid='bafyreic4hoy62rhw3t2y5tzmttonevtsymamywwmry4wwe5h2ozwa62k6y', uri='at://did:plc:buuaezktxboze6nudnwqlc7x/app.bsky.feed.post/3lcr4xowe5s22', py_type='com.atproto.repo.strongRef') py_type='app.bsky.embed.record'",0.0031484924256801605
larswienand.bsky.social,Lars Wienand,did:plc:buuaezktxboze6nudnwqlc7x,2024-12-08T02:09:01.814Z,Es sind noch ein paar mehr schon/noch hinterlegt bei vanillasky. click,at://did:plc:buuaezktxboze6nudnwqlc7x/app.bsky.feed.post/3lcr4xowe5s22,bafyreic4hoy62rhw3t2y5tzmttonevtsymamywwmry4wwe5h2ozwa62k6y,108,3,17,3,de,"images=[Image(alt='1. Screenshot of Subdomains of vanilasky.click https://urlscan.io/ip/23.88.96.130', image=BlobRef(mime_type='image/jpeg', size=945584, ref=IpldLink(link='bafkreihyrxnwyy5zulrkpbj4p7detvsbjm2njoupzwklva3xitm64tmgfq'), py_type='blob'), aspect_ratio=AspectRatio(height=2000, width=924, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='2. Screenshot of Subdomains of vanilasky.click https://urlscan.io/ip/23.88.96.130', image=BlobRef(mime_type='image/jpeg', size=433690, ref=IpldLink(link='bafkreifypeehhifc3oempo6fhshoz5oxcn23b3f6s4crsrhjwqva7pyaiu'), py_type='blob'), aspect_ratio=AspectRatio(height=2000, width=1123, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='3. Screenshot of Subdomains of vanilasky.click https://urlscan.io/ip/23.88.96.130', image=BlobRef(mime_type='image/jpeg', size=967691, ref=IpldLink(link='bafkreidxkvbn2hommoysajecddvcna2ggfzw2p46fdnqrw6jxrvgf2ow7a'), py_type='blob'), aspect_ratio=AspectRatio(height=2000, width=989, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='4. Screenshot of Subdomains of vanilasky.click https://urlscan.io/ip/23.88.96.130, zusätzlicher Hinweis: „Attention: These domains and hostnames were discovered through Certificate Transparency (CT)\nLogs and have been irrevocably published as part of the public record. There is no mechanism for us or anyone else to remove this information from the internet“', image=BlobRef(mime_type='image/jpeg', size=394934, ref=IpldLink(link='bafkreidr34ie4tgjx6rq5tfddkdzxt5rf3gp5r2dio73umcra3bmmn6w4a'), py_type='blob'), aspect_ratio=AspectRatio(height=2000, width=997, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",0.0008308747783303261
